Manufacturer	Country	Model	Introyear	Interface	OS	Price	Throughput	Operatingprinciple	Certifications / tests	Openhardware?	Softwarelicense
Altus Metrum	USA	ChaosKey 1.0	2016	USB	Linux	$40€45	10 Mbit/s	Reverse biased semiconductorjunction	FIPS-140-2	Open	GPLv2
Araneus InformationSystems Oy	Finland	Alea II	2014	USB	Windows/Linux/BSD/MacOS X	€109	100 Kbit/s	Reverse biasedsemiconductorjunction	NISTSTS /DIEHARD	Closed	Proprietary
BitBabbler	Australia	BitBabbler Black	2015	USB	Linux/BSD/Mac/Windows	AUD$49	650 Kbit/s	Mix of shot noise,Johnson–Nyquistnoise,flicker noise, and some electromagnetic interference	ENT test suite /NISTSP800-22 / DIE HARDER / TestU01	Closed	GPLv2
BitBabbler	Australia	BitBabbler White	2015	USB	Linux/BSD/Mac/Windows	AUD$199	2.5 Mbit/s	Mix of shot noise,Johnson–Nyquistnoise,flicker noise, and some electromagnetic interference	ENT test suite /NISTSP800-22 / DIE HARDER / TestU01	Closed	GPLv2
Comscire	USA	PQ4000KS	2016	USB	Linux/Windows/Mac	$795	4 Mbit/s	Shot noise	NISTSP800-90B, C,NIST,SP800-22 /DIEHARD	Closed	Proprietary
Comscire	USA	PQ32MU	2013	USB	Linux/Windows/Mac	$1,495	32 Mbit/s	Shot noise	NISTSP800-90B, C,NIST,SP800-22 /DIEHARD	Closed	Proprietary
Flying Stone Technology	Japan	FST-01 (includes NeuG 1.0)	2013	USB	Windows/Linux/FreeBSD/Mac	$35-$50	602 Kbit/s	Analog-to-digitalconverter noise	NISTSP800-22	Open	GPLv3
Generic	N/A	rtl-sdr dongles	2013	USB	Linux/Mac	$24	2.8 Mbit/s	Atmosphericnoise. Requiresrtl-entropy	NIST SP800-22	Closed	GPLv3
Generic	N/A	STM32 Nucleo Dongles (Running NeuG 1.0)	2015	USB	Windows/Linux/FreeBSD/Mac	$12	560 Kbit/s	Analog-to-digitalconverter noise	NISTSP800-22	Closed	GPLv3
Generic	N/A	Any webcam	2017	USB	Windows/Linux/FreeBSD/Mac	$7	960 Kbit/s	Image noise	NISTSP800-22	Closed	Public domain
ID Quantique SA	Switzerland	Quantis-USB	2006	USB	Windows/Linux	€990	4 Mbit/s	Beam splitter	NIST SP800-22 / DIE HARD by METAS / CTL	Closed	Proprietary
ID Quantique SA	Switzerland	Quantis-PCIe-4M	2010	PCIe	Windows/Linux	€1,299	4 Mbit/s	Beam splitter	NIST SP800-22 / DIE HARD by METAS / CTL	Closed	Proprietary
ID Quantique SA	Switzerland	Quantis-PCIe-16M	2010	PCIe	Windows/Linux	€2,990	16 Mbit/s	Beam splitter	NIST SP800-22 / DIE HARD by METAS / CTL	Closed	Proprietary
ID Quantique SA	Switzerland	Quantis Appliance 4M	2016	Network	Windows/Linux	N/A	4 Mbit/s	Beam splitter	NIST SP800-22 / DIE HARD by METAS / CTL	Closed	Proprietary
ID Quantique SA	Switzerland	Quantis Appliance 16M	2016	Network	Windows/Linux	N/A	16 Mbit/s	Beam splitter	NIST SP800-22 / DIE HARD by METAS / CTL	Closed	Proprietary
